draft_year,rnd,pick,tm,player,pos,g,search_key,id,year_signed,signing_tm,value,value_norm,gtd,gtd_norm
2001,4.0,100.0,CIN,Rudi Johnson,RB,95.0,"Rudi Johnson, RB",317,2005.0,Bengals,16627000.0,0.19446783625730993,8000000.0,0.0935672514619883
2001,4.0,100.0,CIN,Rudi Johnson,RB,95.0,"Rudi Johnson, RB",317,2004.0,Bengals,1824000.0,0.02263532798888089,0.0,0.0
2001,4.0,100.0,CIN,Rudi Johnson,RB,95.0,"Rudi Johnson, RB",317,2008.0,Lions,1100000.0,0.009482758620689655,0.0,0.0
2001,4.0,100.0,CIN,Rudi Johnson,RB,95.0,"Rudi Johnson, RB",317,2001.0,Bengals,1223500.0,0.01815147244269713,327500.0,0.004858690008159632
2001,7.0,204.0,CIN,T.J. Houshmandzadeh,WR,146.0,"T.J. Houshmandzadeh, WR",404,2009.0,Seahawks,40000000.0,0.3252032520325203,14500000.0,0.11788617886178862
2001,7.0,204.0,CIN,T.J. Houshmandzadeh,WR,146.0,"T.J. Houshmandzadeh, WR",404,2005.0,Bengals,12500000.0,0.14619883040935672,3750000.0,0.043859649122807015
2001,7.0,204.0,CIN,T.J. Houshmandzadeh,WR,146.0,"T.J. Houshmandzadeh, WR",404,2004.0,Bengals,628000.0,0.007793303715469956,0.0,0.0
2001,7.0,204.0,CIN,T.J. Houshmandzadeh,WR,146.0,"T.J. Houshmandzadeh, WR",404,2011.0,Raiders,910000.0,0.007559709241952233,0.0,0.0
2001,7.0,204.0,CIN,T.J. Houshmandzadeh,WR,146.0,"T.J. Houshmandzadeh, WR",404,2010.0,Ravens,755000.0,0.006204417051874679,0.0,0.0
2001,7.0,204.0,CIN,T.J. Houshmandzadeh,WR,146.0,"T.J. Houshmandzadeh, WR",404,2001.0,Bengals,935000.0,0.013871374527112233,37000.0,0.0005489207032119279
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2002.0,Texans,48750000.0,0.6856443650581567,14000000.0,0.19690299714490656
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2007.0,Panthers,6200000.0,0.05688073394495413,3000000.0,0.027522935779816515
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2010.0,49ers,6250000.0,0.05136106831022085,3875000.0,0.03184386235233693
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2009.0,Giants,2100000.0,0.01707317073170732,1000000.0,0.008130081300813009
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2008.0,Giants,1000000.0,0.008620689655172414,100000.0,0.0008620689655172414
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2013.0,Giants,1050000.0,0.00849514563106796,165000.0,0.0013349514563106796
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2012.0,Giants,990000.0,0.008208955223880597,165000.0,0.0013681592039800996
2002,1.0,1.0,HOU,David Carr,QB,94.0,"David Carr, QB",439,2011.0,Giants,860000.0,0.007144340602284528,50000.0,0.0004153686396677051
2002,1.0,2.0,CAR,Julius Peppers,DE,266.0,"Julius Peppers, DE",440,2009.0,Panthers,16683000.0,0.13563414634146342,16683000.0,0.13563414634146342
